Weed Name,Soil Type,Growth Stage,Temp (°C),Wind Speed (km/h),Rainfall (mm),Humidity (%),Herbicide Name,Application Rate (L/ha),Success Rate (%),,,,Herbicide Name,
Black Nightshade,Sandy,Mature,28,15,1,89,Atrazine,1.4,82,,,,Atrazine,Herbicide Name
Black Nightshade,Sandy,Early,21,12,5,45,Trifluralin,2.6,93,,,,Trifluralin,Atrazine
Cutleaf Nightshade,Clay,Early,38,0,4,83,Glyphosate,2.7,87,,,,Glyphosate,Trifluralin
Cutleaf Nightshade,Clay,Early,23,10,3,61,Trifluralin,2.2,80,,,,Trifluralin,Glyphosate
Hairy Nightshade,Clay,Mature,21,9,10,77,Flumioxazin,1.8,86,,,,Flumioxazin,Flumioxazin
Black Nightshade,Clay,Mature,21,5,4,53,Trifluralin,2.1,88,,,,Trifluralin,Glufosinate
Hairy Nightshade,Loamy,Mature,21,14,7,67,Glyphosate,2.1,73,,,,Glyphosate,Imazapyr
Black Nightshade,Sandy,Early,34,0,3,38,Flumioxazin,1.1,84,,,,Flumioxazin,Pendimethalin
Ground Cherry,Clay,Mature,37,1,5,57,Glufosinate,2.1,71,,,,Glufosinate,Paraquat
Hairy Nightshade,Clay,Mature,22,15,4,87,Imazapyr,1.3,71,,,,Imazapyr,Sulfentrazone
Black Nightshade,Loamy,Early,30,6,3,62,Imazapyr,2.2,79,,,,Imazapyr,Metolachlor
Hairy Nightshade,Sandy,Early,33,4,4,70,Glyphosate,1.1,91,,,,Glyphosate,
Cutleaf Nightshade,Loamy,Early,22,5,6,90,Atrazine,1.3,84,,,,Atrazine,
Cutleaf Nightshade,Sandy,Mature,23,13,1,61,Pendimethalin,1.7,93,,,,Pendimethalin,
Hairy Nightshade,Sandy,Mature,37,15,1,45,Glyphosate,1.2,75,,,,Glyphosate,
Ground Cherry,Sandy,Early,22,12,2,69,Atrazine,2.3,95,,,,Atrazine,
Black Nightshade,Sandy,Early,22,14,9,60,Flumioxazin,1.3,70,,,,Flumioxazin,
Cutleaf Nightshade,Clay,Early,23,10,8,73,Paraquat,1.7,76,,,,Paraquat,
Black Nightshade,Clay,Mature,40,12,1,81,Flumioxazin,1.5,87,,,,Flumioxazin,
Cutleaf Nightshade,Loamy,Mature,29,14,1,77,Flumioxazin,2.2,85,,,,Flumioxazin,
Hairy Nightshade,Loamy,Early,33,13,6,65,Pendimethalin,2.6,84,,,,Pendimethalin,
Hairy Nightshade,Sandy,Mature,39,12,5,66,Flumioxazin,1.3,91,,,,Flumioxazin,
Black Nightshade,Loamy,Early,24,7,9,51,Pendimethalin,1.5,95,,,,Pendimethalin,
Hairy Nightshade,Loamy,Early,25,14,5,31,Paraquat,2.2,78,,,,Paraquat,
Ground Cherry,Clay,Mature,28,13,5,78,Trifluralin,1.6,72,,,,Trifluralin,
Cutleaf Nightshade,Sandy,Early,35,3,5,31,Paraquat,2.4,78,,,,Paraquat,
Black Nightshade,Clay,Early,31,7,9,69,Imazapyr,2.7,95,,,,Imazapyr,
Ground Cherry,Loamy,Mature,33,0,3,62,Paraquat,1.6,95,,,,Paraquat,
Hairy Nightshade,Loamy,Early,20,5,2,60,Sulfentrazone,1.1,71,,,,Sulfentrazone,
Black Nightshade,Sandy,Mature,28,6,0,61,Flumioxazin,2.1,75,,,,Flumioxazin,
Ground Cherry,Sandy,Mature,26,7,5,41,Atrazine,2.8,94,,,,Atrazine,
Black Nightshade,Clay,Mature,22,0,9,89,Imazapyr,1.6,79,,,,Imazapyr,
Cutleaf Nightshade,Sandy,Mature,34,11,9,54,Pendimethalin,2.8,79,,,,Pendimethalin,
Black Nightshade,Sandy,Mature,28,9,10,47,Flumioxazin,1.2,72,,,,Flumioxazin,
Hairy Nightshade,Loamy,Early,28,0,8,88,Flumioxazin,2.4,90,,,,Flumioxazin,
Cutleaf Nightshade,Sandy,Early,21,8,1,70,Flumioxazin,1,82,,,,Flumioxazin,
Ground Cherry,Loamy,Early,39,14,3,64,Paraquat,1.4,85,,,,Paraquat,
Cutleaf Nightshade,Clay,Mature,25,14,7,89,Trifluralin,1.4,88,,,,Trifluralin,
Cutleaf Nightshade,Loamy,Early,33,6,9,58,Sulfentrazone,1.1,81,,,,Sulfentrazone,
Cutleaf Nightshade,Sandy,Early,40,15,4,36,Glufosinate,1.8,72,,,,Glufosinate,
Black Nightshade,Clay,Early,37,13,8,40,Glyphosate,1.9,77,,,,Glyphosate,
Hairy Nightshade,Clay,Early,37,4,1,50,Glufosinate,2.9,86,,,,Glufosinate,
Hairy Nightshade,Loamy,Mature,26,7,5,48,Trifluralin,1.1,82,,,,Trifluralin,
Black Nightshade,Loamy,Early,21,1,3,85,Atrazine,2.5,94,,,,Atrazine,
